,Year,Length,Title,Genre,Actor,Actress,Director,Popularity,Awards,Image
0,1990,111,Tie Me Up! Tie Me Down!,Comedy,"Banderas, Antonio","Abril, Victoria","Almod�var, Pedro",68,No,"NicholasCage.png,,"
1,1991,113,High Heels,Comedy,"Bos�, Miguel","Abril, Victoria","Almod�var, Pedro",68,No,"NicholasCage.png,,"
2,1983,104,"Dead Zone, The",Horror,"Walken, Christopher","Adams, Brooke","Cronenberg, David",79,No,"NicholasCage.png,"
3,1979,122,Cuba,Action,"Connery, Sean","Adams, Brooke","Lester, Richard",6,No,"seanConnery.png,,"
4,1978,94,Days of Heaven,Drama,"Gere, Richard","Adams, Brooke","Malick, Terrence",14,No,"NicholasCage.png,,"
5,1983,140,Octopussy,Action,"Moore, Roger","Adams, Maud","Glen, John",68,No,"NicholasCage.png,,"
6,1984,101,Target Eagle,Action,"Connors, Chuck","Adams, Maud","Loma, Jos� Antonio de la",14,No,"NicholasCage.png,,"
7,1989,99,"American Angels: Baptism of Blood, The",Drama,"Bergen, Robert D.","Adams, Trudy","Sebastian, Beverly",28,No,"NicholasCage.png,"
8,1985,104,Subway,Drama,"Lambert, Christopher","Adjani, Isabelle","Besson, Luc",6,No,"NicholasCage.png,,"
9,1990,149,Camille Claudel,Drama,"Depardieu, G�rard","Adjani, Isabelle","Nuytten, Bruno",32,No,"NicholasCage.png,,"
10,1982,188,Fanny and Alexander,Drama,"Ahlstedt, B�rje","Adolphson, Kristina","Bergman, Ingmar",81,Yes,"Bergman.png,,"
11,1982,117,Tragedy of a Ridiculous Man,Drama,"Tognazzi, Ugo","Aimee, Anouk","Bertolucci, Bernardo",17,No,"NicholasCage.png,,"
12,1966,103,A Man & a Woman,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude",46,Yes,"NicholasCage.png,,"
13,1986,112,A Man & a Woman: Twenty Years Later,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude",49,No,"NicholasCage.png,,"
14,1966,103,Un Hombre y una Mujer,Drama,"Trintignant, Jean-Louis","Aimee, Anouk","Lelouch, Claude",6,Yes,"NicholasCage.png,,"
15,1985,112,"Official Story, The",Drama,"Alterio, Hector","Aleandro, Norma","Puenzo, Luiz",39,Yes,"NicholasCage.png,"
16,1976,150,"Lindbergh Kidnapping Case, The",Drama,"Hopkins, Anthony","Alexander, Denise","Kulik, Buzz",51,No,"AnthonyHopkins.png,"
17,1929,84,Blackmail,Mystery,"Longden, John","Algood, Sara","Hitchcock, Alfred",2,No,"alfredHitchcock.png,,"
18,1963,109,Donovan's Reef,Comedy,"Wayne, John","Allen, Elizabeth","Ford, John",62,No,"johnWayne.png,,"
19,1988,110,Tucker: The Man & His Dream,Drama,"Bridges, Jeff","Allen, Joan","Coppola, Francis Ford",68,No,"NicholasCage.png,,"
20,1988,101,Scrooged,Comedy,"Murray, Bill","Allen, Karen","Donner, Richard",15,No,"NicholasCage.png,,"
21,1981,116,Raiders of the Lost Ark,Action,"Ford, Harrison","Allen, Karen","Spielberg, Steven",8,No,"NicholasCage.png,,"
22,1987,101,"Running Man, The",Science Fiction,"Schwarzenegger, Arnold","Alonso, Maria Conchita","Glaser, Paul Michael",31,No,"NicholasCage.png,"
23,1991,105,Predator 2,Action,"Glover, Danny","Alonso, Maria Conchita","Hopkins, Stephen",79,No,"NicholasCage.png,,"
24,1988,127,Colors,Drama,"Penn, Sean","Alonso, Maria Conchita","Hopper, Dennis",23,No,"NicholasCage.png,,"
25,1990,97,Zandalee,Drama,"Cage, Nicolas","Anderson, Erika","Pillsbury, Sam",80,No,"NicholasCage.png,,"
26,1988,108,Miles from Home,Drama,"Anderson, Kevin","Anderson, Jo","Sinise, Gary",53,No,"NicholasCage.png,,"
27,1989,88,Final Notice,Mystery,"Gerard, Gil","Anderson, Melody","Stern, Steven Hilliard",88,No,"NicholasCage.png,,"
28,1979,110,Quintet,Drama,"Newman, Paul","Andersson, Bibi","Altman, Robert",19,No,"paulNewman.png,,"
29,1960,90,"Devil's Eye, The",Drama,"Kulle, Jarl","Andersson, Bibi","Bergman, Ingmar",20,No,"Bergman.png,"
30,1957,91,Wild Strawberries,Drama,"Sj�str�m, Victor","Andersson, Bibi","Bergman, Ingmar",42,Yes,"Bergman.png,,"
31,1956,96,"Seventh Seal, The",Drama,"Sydow, Max von","Andersson, Bibi","Bergman, Ingmar",62,No,"Bergman.png,"
32,1955,86,Dreams,Drama,"Bj�rnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar",14,No,"Bergman.png,,"
33,1955,95,"Naked Night, The",Drama,"Bj�rnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar",38,No,"Bergman.png,"
34,1962,91,Through a Glass Darkly,Drama,"Bj�rnstrand, Gunnar","Andersson, Harriet","Bergman, Ingmar",64,Yes,"Bergman.png,,"
35,1972,91,Cries & Whispers,Drama,"Josephson, Erland","Andersson, Harriet","Bergman, Ingmar",18,Yes,"Bergman.png,,"
36,1958,104,"Barbarian & the Geisha, The",Action,"Wayne, John","Ando, Eiko","Huston, John",52,No,"johnWayne.png,"
37,1967,130,Casino Royale,Comedy,"Niven, David","Andress, Ursula","Hughes, Ken",11,No,"NicholasCage.png,,"
38,1979,121,Ten,Comedy,"Moore, Dudley","Andrews, Julie","Edwards, Blake",60,No,"NicholasCage.png,,"
39,1983,118,"Man Who Loved Women, The",Comedy,"Reynolds, Burt","Andrews, Julie","Edwards, Blake",67,No,"NicholasCage.png,"
40,1966,190,Hawaii,Drama,"Sydow, Max von","Andrews, Julie","Hill, George Roy",8,No,"NicholasCage.png,,"
41,1966,125,Torn Curtain,Mystery,"Newman, Paul","Andrews, Julie","Hitchcock, Alfred",35,No,"paulNewman.png,,"
42,1986,107,Duet for One,Drama,"Bates, Alan","Andrews, Julie","Konchalovsky, Andrei",82,No,"NicholasCage.png,,"
43,1965,172,"Sound of Music, The",Music,"Plummer, Christopher","Andrews, Julie","Wise, Robert",59,Yes,"NicholasCage.png,"
44,1984,140,Tartuffe,Comedy,"Depardieu, G�rard","Annen, Paule","Depardieu, G�rard",67,No,"NicholasCage.png,,"
45,1988,104,A New Life,Comedy,"Alda, Alan",Ann-Margret,"Alda, Alan",53,No,"NicholasCage.png,,,"
46,1978,106,Magic,Mystery,"Hopkins, Anthony",Ann-Margret,"Attenborough, Richard",85,No,"AnthonyHopkins.png,,,"
47,1992,286,Tommy,Music,"Daltry, Roger",Ann-Margret,"Russell, Ken",5,No,"NicholasCage.png,,,"
48,1978,108,"Big Fix, The",Mystery,"Dreyfuss, Richard","Anspach, Susan","Kagan, Jeremy Paul",19,No,"NicholasCage.png,"
49,1992,95,Alan & Naomi,Drama,"Haas, Lukas","Aquino, Vanessa","Vanwagenen, Sterling",3,No,"NicholasCage.png,,"
50,1987,120,Fatal Attraction,Mystery,"Douglas, Michael","Archer, Anne","Lyne, Adrian",61,No,"NicholasCage.png,,"
51,1992,117,Patriot Games,Action,"Ford, Harrison","Archer, Anne","Noyce, Phillip",28,No,"NicholasCage.png,,"
52,1981,106,"Woman Next Door, The",Drama,"Depardieu, G�rard","Ardant, Fanny","Truffaut, Fran�ois",82,No,"NicholasCage.png,"
53,1992,97,Hunting,Mystery,"Savage, John","Armstrong, Kerry","Howson, Frank",68,No,"NicholasCage.png,,"
54,1924,110,"Siegfried, The Nibelungenlied",Drama,"Richter, Paul","Arnold, Gertrud","Lang, Fritz",79,No,"NicholasCage.png,"
55,1988,118,"Big Blue, The",Drama,"Barr, Jean-Marc","Arquette, Rosanna","Besson, Luc",7,No,"NicholasCage.png,"
56,1991,115,Flight of the Intruder,Drama,"Glover, Danny","Arquette, Rosanna","Milius, John",51,No,"NicholasCage.png,,"
57,1986,108,Nobody's Fool,Comedy,"Roberts, Eric","Arquette, Rosanna","Purcell, Evelyn",52,No,"NicholasCage.png,,"
58,1985,97,After Hours,Comedy,"Dunne, Griffin","Arquette, Rosanna","Scorsese, Martin",81,No,"NicholasCage.png,,"
59,1985,104,Desperately Seeking Susan,Comedy,"Quinn, Aidan","Arquette, Rosanna","Seidelman, Susan",41,No,"NicholasCage.png,,"
60,1971,102,A New Leaf,Comedy,"Matthau, Walter","Arrick, Rose","May, Elaine",83,No,"NicholasCage.png,,"
61,1959,91,Killers of Kilimanjaro,Action,"Taylor, Robert","Aslan, Gregoire","Thorpe, Richard",11,No,"NicholasCage.png,,"
62,1926,126,Don Juan,Action,"Barrymore, John","Astor, Mary","Crosland, Alan",55,No,"NicholasCage.png,,"
63,1987,102,Babette's Feast,Drama,"LaFont, Jean-Philippe","Audran, St�phane","Axel, Gabriel",79,Yes,"NicholasCage.png,,"
64,1988,141,Thunderball,Action,"Connery, Sean","Auger, Claudine","Young, Terrence",8,No,"seanConnery.png,,"
65,1926,66,Lodger (Story of the London Fog),Mystery,"Chesney, Arthur","Ault, Marie","Hitchcock, Alfred",76,No,"alfredHitchcock.png,,"
66,1988,103,Appointment with Death,Mystery,"Ustinov, Peter","Bacall, Lauren","Donaggio, Michael Winner",75,No,"NicholasCage.png,,"
67,1974,128,Murder on the Orient Express,Mystery,"Balsam, Martin","Bacall, Lauren","Lumet, Sidney",8,Yes,"NicholasCage.png,,"
68,1955,115,Blood Alley,War,"Wayne, John","Bacall, Lauren","Wellman, William",15,No,"johnWayne.png,,"
69,1977,136,"Spy Who Loved Me, The",Action,"Moore, Roger","Bach, Barbara","Gilbert, Lewis",27,No,"NicholasCage.png,"
70,1988,100,Storm,Action,"Palfy, David","Bahtia, Stacy Christensen","Winning, David",61,No,"NicholasCage.png,,"
71,1989,103,Miami Cops,Action,"Roundtree, Richard","Baker, Dawn","Bradley, Al",40,No,"NicholasCage.png,,"
72,1996,96,"Island of Dr. Moreau, The",Horror,"Thewlis, David","Balk, Fairuza","Frankenheimer, John",39,No,"NicholasCage.png,"
73,1992,100,Eighty-Four Charing Cross Road,Drama,"Hopkins, Anthony","Bancroft, Anne","Jones, David",9,No,"AnthonyHopkins.png,,"
74,1980,124,"Elephant Man, The",Drama,"Hopkins, Anthony","Bancroft, Anne","Lynch, David",3,Yes,"AnthonyHopkins.png,"
75,1988,90,Dr Alien,Science Fiction,"Jacoby, Billy","Barash, Olivia","DeCoteau, David",70,No,"NicholasCage.png,,"
76,1982,120,Creepshow,Horror,"Holbrook, Hal","Barbeau, Adrienne","Romero, George A.",70,No,"NicholasCage.png,,"
77,1987,100,Sammy & Rosie Get Laid,Drama,"Din, Ayub Khan","Barber, Frances","Frears, Stephen",6,No,"NicholasCage.png,,"
78,1971,101,"Goalie's Anxiety at the Penalty Kick, The",Drama,"Brauss, Arthur","Bardischewski, Maria","Wenders, Wim",62,No,"NicholasCage.png,"
79,1957,99,Mademoiselle Striptease,Comedy,"Gelin, Daniel","Bardot, Brigitte","Allegret, Marc",25,No,"brigitteBardot.png,,"
80,1969,86,"Women, The",Drama,"Ronet, Maurice","Bardot, Brigitte","Aurel, Jean",66,No,"brigitteBardot.png,"
81,1958,77,That Naughty Girl,Comedy,"Bretonniere, Jean","Bardot, Brigitte","Boisrond, Michel",37,No,"brigitteBardot.png,,"
82,1959,90,Voulez-Vous Danser Avec Moi?,Comedy,"Vidal, Henri","Bardot, Brigitte","Boisrond, Michel",16,No,"brigitteBardot.png,,"
83,1967,100,"A Coeur Joie, (Head Over Heels)",Action,"Terzieff, Laurent","Bardot, Brigitte","Bourguignon, Serge",54,No,"brigitteBardot.png,"
84,1968,113,Shalako,Westerns,"Connery, Sean","Bardot, Brigitte","Dmytryk, Edward",0,No,"brigitteBardot.png,,"
85,1964,102,Contempt,Drama,"Palance, Jack","Bardot, Brigitte","Godard, Jean-Luc",81,No,"brigitteBardot.png,,"
86,1965,100,Dear Brigitte,Comedy,"Mumy, Billy","Bardot, Brigitte","Koster, Henry",71,No,"brigitteBardot.png,,"
87,1962,134,A Very Private Affair,Drama,"Mastroianni, Marcello","Bardot, Brigitte","Malle, Louis",30,No,"brigitteBardot.png,,"
88,1964,99,"Ravishing Idiot, The",Comedy,"Perkins, Anthony","Bardot, Brigitte","Molinaro, Edouard",34,No,"brigitteBardot.png,"
89,1958,90,"Bride Is Much Too Beautiful, The",Comedy,"Jourdan, Louis","Bardot, Brigitte","Surin, Fred",70,No,"brigitteBardot.png,"
90,1955,90,Doctor at Sea,Comedy,"Bogarde, Dirk","Bardot, Brigitte","Thomas, Ralph",83,No,"brigitteBardot.png,,"
91,1962,100,"Le Repos Du Guerrier, (Warrior's Rest)",War,"Hossein, Robert","Bardot, Brigitte","Vadim, Roger",8,No,"brigitteBardot.png,"
92,1957,90,And God Created Woman,Drama,"Jurgens, Curt","Bardot, Brigitte","Vadim, Roger",29,No,"brigitteBardot.png,,"
93,1973,87,Ms. Don Juan,Drama,"Ronet, Maurice","Bardot, Brigitte","Vadim, Roger",39,No,"brigitteBardot.png,,"
94,1987,97,Siesta,Drama,"Byrne, Gabriel","Barkin, Ellen","Lambert, Mary",48,No,"NicholasCage.png,,"
95,1932,92,Rich & Strange,Drama,"Kendall, Henry","Barry, Joan","Hitchcock, Alfred",57,No,"alfredHitchcock.png,,"
96,1987,104,Lionheart,Action,"Stoltz, Eric","Barrymore, Deborah","Schaffner, Franklin J.",9,No,"NicholasCage.png,,"
97,1982,115,E. T. The Extra-Terrestrial,Science Fiction,"Wallace, Dee","Barrymore, Drew","Spielberg, Steven",8,Yes,"NicholasCage.png,,"
98,1992,101,Cool World,Drama,"Byrne, Gabriel","Basinger, Kim","Bakshi, Ralph",44,No,"NicholasCage.png,,"
99,1988,83,Nadine,Comedy,"Bridges, Jeff","Basinger, Kim","Benton, Robert",47,No,"NicholasCage.png,,"
100,1989,126,Batman,Action,"Nicholson, Jack","Basinger, Kim","Burton, Tim",14,No,"JackNicholson.png,,"
101,1987,95,Blind Date,Comedy,"Willis, Bruce","Basinger, Kim","Edwards, Blake",7,No,"NicholasCage.png,,"
102,1982,101,Mother Lode,Action,"Heston, Charlton","Basinger, Kim","Heston, Charlton",40,No,"NicholasCage.png,,"
103,1992,125,Final Analysis,Drama,"Gere, Richard","Basinger, Kim","Joanou, Phil",50,No,"NicholasCage.png,,"
104,1983,134,Never Say Never Again,Action,"Connery, Sean","Basinger, Kim","Kershner, Irvin",8,No,"seanConnery.png,,"
105,1986,117,Nine & a Half Weeks,Drama,"Rourke, Mickey","Basinger, Kim","Lyne, Adrian",7,No,"NicholasCage.png,,"
106,1986,108,No Mercy,Drama,"Gere, Richard","Basinger, Kim","Pearce, Richard",11,No,"NicholasCage.png,,"
107,1991,116,"Marrying Man, The",Comedy,"Baldwin, Alec","Basinger, Kim","Rees, Jerry",84,No,"NicholasCage.png,"
108,1990,123,Misery,Horror,"Caan, James","Bates, Kathy","Reiner, Rob",48,Yes,"NicholasCage.png,,"
109,1946,93,Crisis,Drama,"Andersson, Wiktor","Baude, Anna-Lisa","Bergman, Ingmar",66,No,"Bergman.png,,"
110,1984,95,Samson & Delilah,Drama,"Hamilton, Antony","Bauer, Belinda","Philips, Lee",36,No,"NicholasCage.png,,"
111,1988,96,Split Decisions,Drama,"Hackman, Gene","Beals, Jennifer","Drury, David",52,No,"NicholasCage.png,,"
112,1988,96,Nightmare at Noon,Action,"Hauser, Wings","Beck, Kimberly","Mastorakis, Nico",0,No,"NicholasCage.png,,"
113,1990,127,Presumed Innocent,Mystery,"Ford, Harrison","Bedelia, Bonnie","Pakula, Alan J.",69,No,"NicholasCage.png,,"
114,1942,123,Reap the Wild Wind,Drama,"Wayne, John","Beecher, Janet","DeMille, Cecil B.",59,No,"johnWayne.png,,"
115,1972,100,Pocket Money,Comedy,"Newman, Paul","Belford, Christine","Rosenberg, Stuart",55,No,"paulNewman.png,,"
116,1977,102,Mary White,Drama,"Flanders, Ed","Beller, Kathleen","Taylor, Jud",2,No,"NicholasCage.png,,"
117,1990,105,Guilty by Suspicion,Drama,"De Niro, Robert","Bening, Annette","Winkler, Irwin",88,No,"NicholasCage.png,,"
118,1948,99,Secret Beyond the Door,Mystery,"Redgrave, Michael","Bennett, Joan","Lang, Fritz",31,No,"NicholasCage.png,,"
119,1945,103,Scarlet Street,Drama,"Robinson, Edward G.","Bennett, Joan","Lang, Fritz",80,No,"NicholasCage.png,,"
120,1988,76,Daffy Duck's Quackbusters,Action,"Blanc, Mel","Bennett, Julie","Ford, Greg",68,No,"NicholasCage.png,,"
121,1982,188,Gandhi,Drama,"Kingsley, Ben","Bergen, Candice","Attenborough, Richard",7,Yes,"NicholasCage.png,,"
122,1975,120,"Wind & the Lion, The",Action,"Connery, Sean","Bergen, Candice","Milius, John",2,No,"seanConnery.png,"
123,1971,96,Carnal Knowledge,Drama,"Nicholson, Jack","Bergen, Candice","Nichols, Mike",10,No,"JackNicholson.png,,"
124,1970,126,Getting Straight,Comedy,"Gould, Elliott","Bergen, Candice","Rush, Richard",83,No,"NicholasCage.png,,"
125,1972,90,"Scarlet Letter, The",Drama,"Albaic�n, Rafael","Berger, Senta","Wenders, Wim",55,No,"NicholasCage.png,"
126,1935,75,"Count of Old Town, The",Comedy,"Adolphson, Edvin","Bergman, Ingrid","Adolphson, Edvin",72,No,"ingridBergman.png,"
127,1978,97,Autumn Sonata,Drama,"Bj�rk, Halvar","Bergman, Ingrid","Bergman, Ingmar",49,Yes,"ingridBergman.png,,"
128,1944,114,Gaslight,Drama,"Boyer, Charles","Bergman, Ingrid","Cukor, George",25,Yes,"ingridBergman.png,,"
129,1958,100,Indiscreet,Drama,"Grant, Cary","Bergman, Ingrid","Donen, Stanley",1,No,"ingridBergman.png,,"
130,1941,75,Walpurgis Night,Drama,"Sj�str�m, Victor","Bergman, Ingrid","Edgren, Gustaf",32,No,"ingridBergman.png,,"
131,1948,100,Joan of Arc,Drama,"Ferrer, Jose","Bergman, Ingrid","Fleming, Victor",7,No,"ingridBergman.png,,"
132,1982,195,A Woman Called Golda,Drama,"Beatty, Ned","Bergman, Ingrid","Gibson, Alan",15,Yes,"ingridBergman.png,,"
133,1969,98,A Walk in the Spring Rain,Drama,"Quinn, Anthony","Bergman, Ingrid","Green, Guy",2,No,"ingridBergman.png,,"
134,1949,117,Under Capricorn,Drama,"Cotten, Joseph","Bergman, Ingrid","Hitchcock, Alfred",74,No,"ingridBergman.png,,"
135,1946,101,Notorious,Mystery,"Grant, Cary","Bergman, Ingrid","Hitchcock, Alfred",42,No,"ingridBergman.png,,"
136,1940,90,June Night,Drama,"Widgren, Olof","Bergman, Ingrid","Lindberg, Per",14,No,"ingridBergman.png,,"
137,1961,120,Goodbye Again,Drama,"Perkins, Anthony","Bergman, Ingrid","Litvak, Anatole",6,No,"ingridBergman.png,,"
138,1956,106,Anastasia,Drama,"Tamiroff, Akim","Bergman, Ingrid","Litvak, Anatole",24,Yes,"ingridBergman.png,,"
139,1945,126,"Bells of St. Mary's, The",Drama,"Crosby, Bing","Bergman, Ingrid","McCarey, Leo",31,No,"ingridBergman.png,"
140,1937,91,Intermezzo,Drama,"Ekman, G�sta","Bergman, Ingrid","Molander, Gustaf",32,No,"ingridBergman.png,,"
141,1938,104,A Woman's Face,Drama,"Svennberg, Tore","Bergman, Ingrid","Molander, Gustaf",49,No,"ingridBergman.png,,"
142,1935,90,Swedenhielms,Drama,"Westergren, H�kan","Bergman, Ingrid","Molander, Gustaf",88,No,"ingridBergman.png,,"
143,1939,87,Only One Night,Drama,"Adolphson, Edvin","Bergman, Ingrid","Molander, Gustav",26,No,"ingridBergman.png,,"
144,1938,74,Dollar,Drama,"Rydeberg, Georg","Bergman, Ingrid","Molander, Gustav",19,No,"ingridBergman.png,,"
145,1956,98,Elena & Her Men,Drama,"Ferrer, Mel","Bergman, Ingrid","Renoir, Jean",33,No,"ingridBergman.png,,"
146,1952,110,Europa Fifty-One,Drama,"Knox, Alexander","Bergman, Ingrid","Rossellini, Roberto",34,No,"ingridBergman.png,,"
147,1953,83,Voyage in Italy,Drama,"Sanders, George","Bergman, Ingrid","Rossellini, Roberto",57,No,"ingridBergman.png,,"
148,1954,81,Fear,Drama,"Wieman, Mathias","Bergman, Ingrid","Rossellini, Roberto",69,No,"ingridBergman.png,,"
149,1950,107,Stromboli,Drama,"Vitale, Mario","Bergman, Ingrid","Rossellini, Roberto",69,No,"ingridBergman.png,,"
150,1969,103,Cactus Flower,Comedy,"Matthau, Walter","Bergman, Ingrid","Saks, Gene",67,Yes,"ingridBergman.png,,"
151,1987,91,Programmed to Kill,Action,"Ginty, Robert","Bergman, Sandahl","Holzman, Allan",71,No,"NicholasCage.png,,"
152,1982,128,Conan the Barbarian,Action,"Schwarzenegger, Arnold","Bergman, Sandahl","Milius, John",45,No,"NicholasCage.png,,"
153,1991,91,Raw Nerve,Mystery,"Ford, Glenn","Bergman, Sandahl","Prior, David A.",88,No,"glennFord.png,,"
154,1970,94,Think Dirty,Comedy,"Feldman, Marty","Berman, Shelley","Clark, Jim",31,No,"NicholasCage.png,,"
155,1982,108,King of Comedy,Drama,"De Niro, Robert","Bernhard, Sandra","Scorsese, Martin",84,No,"NicholasCage.png,,"
156,1984,158,Amadeus,Drama,"Abraham, F. Murray","Berridge, Elizabeth","Forman, Milos",6,Yes,"NicholasCage.png,,"
157,1973,101,White Lightning,Action,"Reynolds, Burt","Billingsley, Jennifer","Sargent, Joseph",54,No,"NicholasCage.png,,"
158,1988,172,"Unbearable Lightness of Being, The",Drama,"Day-Lewis, Daniel","Binoche, Juliette","Kaufman, Philip",5,Yes,"NicholasCage.png,"
159,1972,124,"Life & Times of Judge Roy Bean, The",Western,"Newman, Paul","Bisset, Jacqueline","Huston, John",65,No,"paulNewman.png,"
160,1970,137,Airport,Drama,"Lancaster, Burt","Bisset, Jacqueline","Seaton, George",0,Yes,"burtLancaster.png,,"
161,1973,116,Day for Night,Drama,"Aumont, Jean-Pierre","Bisset, Jacqueline","Truffaut, Fran�ois",10,Yes,"NicholasCage.png,,"
162,1952,107,Secrets of Women,Comedy,"Malmsten, Birger","Bj�rk, Anita","Bergman, Ingmar",66,No,"Bergman.png,,"
163,1976,116,Burnt Offerings,Horror,"Reed, Oliver","Black, Karen","Curtis, Dan",35,No,"NicholasCage.png,,"
164,1969,94,Easy Rider,Drama,"Fonda, Peter","Black, Karen","Hopper, Dennis",36,No,"NicholasCage.png,,"
165,1991,98,Five Easy Pieces,Drama,"Nicholson, Jack","Black, Karen","Rafelson, Bob",2,No,"JackNicholson.png,,"
166,1974,144,"Day of the Locust, The",Drama,"Sutherland, Donald","Black, Karen","Schlesinger, John",81,No,"NicholasCage.png,"
167,1964,112,Goldfinger,Action,"Connery, Sean","Blackman, Honor","Hamilton, Guy",77,No,"seanConnery.png,,"
168,1977,117,"Exorcist II, The Heretic",Horror,"Burton, Richard","Blair, Linda","Boorman, John",29,No,"NicholasCage.png,"
169,1942,88,Lady for a Night,Drama,"Wayne, John","Blondell, Joan","Leigh, Jason",12,No,"johnWayne.png,,"
170,1968,103,Charly,Drama,"Robertson, Cliff","Bloom, Claire","Nelson, Ralph",38,Yes,"NicholasCage.png,,"
171,1973,105,High Plains Drifter,Western,"Eastwood, Clint","Bloom, Verna","Eastwood, Clint",57,No,"clintEastwood.png,,"
172,1982,123,Honkytonk Man,Drama,"Eastwood, Clint","Bloom, Verna","Eastwood, Clint",69,No,"clintEastwood.png,,"
173,1990,102,Nightbreed,Horror,"Cronenberg, David","Bobby, Anne","Barker, Clive",72,No,"NicholasCage.png,,"
174,1987,98,Under the Sun of Satan,Drama,"Depardieu, G�rard","Bonnaire, Sandrine","Pialat, Maurice",45,No,"NicholasCage.png,,"
175,1985,105,Vagabond,Drama,"Meril, Macha","Bonnaire, Sandrine","Varda, Agnes",49,No,"NicholasCage.png,,"
176,1974,89,Monty Python & the Holy Grail,Comedy,"Chapman, Graham","Booth, Connie","Gilliam, Terry",83,No,"NicholasCage.png,,"
177,1958,101,"Matchmaker, The",Comedy,"Perkins, Anthony","Booth, Shirley","Anthony, Joseph",67,No,"NicholasCage.png,"
178,1981,129,For Your Eyes Only,Action,"Moore, Roger","Bouquet, Carole","Glen, John",86,No,"NicholasCage.png,,"
179,1928,139,Wings,War,"Rogers, Buddy","Bow, Clara","Wellman, William",44,Yes,"NicholasCage.png,,"
180,1992,106,Medicine Man,Action,"Connery, Sean","Bracco, Lorraine","McTiernan, John",6,No,"seanConnery.png,,"
181,1985,119,Kiss of the Spider Woman,Drama,"Hurt, William","Braga, Sonia","Babenco, Hector",10,Yes,"NicholasCage.png,,"
182,1990,121,"Rookie, THe",Action,"Eastwood, Clint","Braga, Sonia","Eastwood, Clint",48,No,"clintEastwood.png,"
183,1973,129,"Sting, The",Drama,"Newman, Paul","Brennan, Eileen","Hill, George Roy",83,Yes,"paulNewman.png,"
184,1958,96,Torpedo Run,War,"Ford, Glenn","Brewster, Diane","Pevney, Joseph",50,No,"glennFord.png,,"
185,1986,101,Instant Justice,Drama,"Par�, Michael","Bridges, Lynda","Rumar, Craig",45,No,"NicholasCage.png,,"
186,1990,135,Cyrano de Bergerac,Drama,"Depardieu, G�rard","Brochet, Anne","Rappeneau, Jean-Paul",76,No,"NicholasCage.png,,"
187,1948,110,Border Street,Drama,"Fijewski, Tadeusz","Broniewska, Maria","Ford, Aleksander",73,No,"NicholasCage.png,,"
188,1987,91,Firehouse,Comedy,"Hopkins, Barrett","Brown, Violet","Ingvordsen, J. Christian",66,No,"NicholasCage.png,,"
189,1965,123,Morituri,Drama,"Brando, Marlon","Brynner, Yul","Wicki, Bernhard",9,No,"brando.png,,"
190,1980,104,From the Life of the Marionettes,Drama,"Atzorn, Robert","Buchegger, Christine","Bergman, Ingmar",58,No,"Bergman.png,,"
191,1988,120,Frantic,Mystery,"Ford, Harrison","Buckley, Betty","Polanski, Roman",17,No,"NicholasCage.png,,"
192,1978,114,Coma,Science Fiction,"Douglas, Michael","Bujold, Genevi�ve","Crichton, Michael",64,No,"NicholasCage.png,,"
193,1988,117,Dead Ringers,Drama,"Irons, Jeremy","Bujold, Genevi�ve","Cronenberg, David",29,No,"NicholasCage.png,,"
194,1988,90,Golden Ninja Invasion,Action,"West, Leonard","Burd, Stephanie","Lambert, Bruce",13,No,"NicholasCage.png,,"
195,1973,122,"Exorcist, The",Horror,"Sydow, Max von","Burstyn, Ellen","Friedkin, William",28,Yes,"NicholasCage.png,"
196,1982,94,"Eyes of the Amaryllis, The",Drama,"Bolt, Jonathan","Byrne, Martha","King Keller, Frederick",70,No,"NicholasCage.png,"
197,1952,109,What Price Glory?,War,"Cagney, James","Calvet, Corinne","Ford, John",4,No,"johnFord.png,,"
198,1954,40,Inauguration of the Pleasure Dome,Short,"De Brier, Sampson","Cameron, Marjorie","Anger, Kenneth",62,No,"NicholasCage.png,,"
199,1989,114,School Daze,Comedy,"Fishburne, Larry","Campbell, Tisha","Lee, Spike",18,No,"NicholasCage.png,,"
200,1990,102,"End of Innocence, The",Drama,"Heard, John","Cannon, Dyan","Cannon, Dyan",6,No,"NicholasCage.png,"
201,1971,98,"Anderson Tapes, The",Mystery,"Connery, Sean","Cannon, Dyan","Lumet, Sidney",1,No,"seanConnery.png,"
202,1983,50,"Father Murphy, A Horse from Heaven",Comedy,"Olsen, Merlin","Cannon, Katharine","Claxton, William F.",28,No,"NicholasCage.png,"
203,1989,80,Skull,Drama,"Bideman, Robert","Capone, Nadia","Bergman, Robert",19,No,"NicholasCage.png,,"
204,1987,91,"Quick & The Dead, The",Western,"Elliott, Sam","Capshaw, Kate","Day, Robert",40,No,"NicholasCage.png,"
205,1984,94,Best Defense,Comedy,"Moore, Dudley","Capshaw, Kate","Huyck, Willard",75,No,"NicholasCage.png,,"
206,1984,99,Dreamscape,Science Fiction,"Quaid, Dennis","Capshaw, Kate","Ruben, Joseph",63,No,"NicholasCage.png,,"
